user_id,skills,interests
1,"Rust,ML,Kotlin,TypeScript,SQL","Education,IoT,Blockchain,Robotics"
2,"ML,C++","Fintech,AI,Climate"
3,"React,UI/UX","AI,Climate,IoT,Robotics"
4,"Java,TensorFlow,ML,Node.js,Rust","Climate,Blockchain,Fintech,Gaming"
5,"Java,ML,C++,TypeScript","Gaming,Startups"
6,"Django,Python,Go,C++,Rust","IoT,Fintech,AI,Education"
7,"C++,UI/UX,Kotlin,TypeScript,TensorFlow","Blockchain,IoT,Security"
8,"C++,Go","IoT,Healthcare"
9,"React,Python,SQL","Gaming,Fintech,Startups"
10,"SQL,Python,C++,Node.js","Design,Education"
11,"Python,Flask,SQL,Django,UI/UX","Climate,Fintech,IoT,Robotics"
12,"Flask,UI/UX","Fintech,Blockchain,Climate,Security"
13,"Django,SQL,ML,Python","Healthcare,Startups,IoT"
14,"React,ML,TypeScript","Design,Security,Startups,AI"
15,"TensorFlow,Django","AI,Design"
16,"React,Django,Flask","Blockchain,Fintech,Climate"
17,"ML,UI/UX,Django,C++","Design,IoT,AI"
18,"UI/UX,React,Java","Fintech,Education,Healthcare"
19,"TypeScript,C++,React,Kotlin,Node.js","Design,IoT"
20,"Python,Kotlin,C++","Gaming,AI"
21,"React,UI/UX,Go","AI,Design,Healthcare,Security"
22,"Java,Rust,Go,SQL","AI,Startups"
23,"Node.js,TensorFlow","Climate,Blockchain,Security"
24,"Rust,Python,ML,Java,Node.js","Climate,Robotics"
25,"Rust,TensorFlow,Kotlin,UI/UX,Flask","Blockchain,Security,AI"
26,"Python,C++,Rust,Kotlin,UI/UX","Blockchain,Gaming,Robotics,Healthcare"
27,"Python,Go,C++","Education,Design"
28,"Java,Python,TypeScript","AI,Blockchain,Healthcare"
29,"Django,UI/UX,Java,Node.js","IoT,Climate"
30,"Rust,Java,Python,C++","Education,Healthcare,Fintech"
31,"TypeScript,Kotlin,TensorFlow,Rust,Java","Blockchain,Education"
32,"Rust,Python","Climate,Startups,Design,Healthcare"
33,"Node.js,Go,SQL","Design,Fintech"
34,"Kotlin,Node.js","Security,Education,Climate,Startups"
35,"TypeScript,C++,Java,Rust","Healthcare,Fintech,Gaming"
36,"Flask,React,Python,Java,C++","Robotics,Education,IoT,AI"
37,"Rust,C++","Security,Robotics,Climate,Education"
38,"Java,TensorFlow,UI/UX,ML,Go","Education,Security,Healthcare,Startups"
39,"C++,React,Flask","Climate,Design,Education"
40,"Kotlin,React","Education,Gaming,Climate"
41,"TensorFlow,Kotlin","IoT,AI,Security"
42,"Rust,SQL,TypeScript,Kotlin","Gaming,Fintech"
43,"SQL,Go,Node.js,Kotlin","Gaming,Design,Robotics,Climate"
44,"Rust,Kotlin,UI/UX,Node.js","Fintech,Healthcare,Blockchain,IoT"
45,"TensorFlow,Node.js,Rust,Python","AI,Gaming"
46,"C++,Flask","Design,Climate"
47,"Flask,UI/UX","Startups,AI"
48,"TypeScript,C++","Fintech,Startups,Education,Gaming"
49,"Go,Rust,TensorFlow","Climate,Security"
50,"Kotlin,Django,C++,Go","Robotics,IoT,Startups"
51,"Rust,Python,UI/UX","Education,Fintech"
52,"Django,TensorFlow","AI,Security,Healthcare"
53,"C++,Go,Flask","Gaming,Design,IoT,Climate"
54,"C++,Flask,SQL,TypeScript,TensorFlow","Blockchain,Climate,Gaming,IoT"
55,"SQL,Node.js","Education,Security,Gaming"
56,"Go,ML","AI,Robotics"
57,"Flask,TypeScript,Django,ML","Education,Healthcare,Security"
58,"SQL,Django,Kotlin","Robotics,Healthcare,Fintech,AI"
59,"Kotlin,Python","AI,Security"
60,"Django,Java,TypeScript","Gaming,Security"
61,"TensorFlow,TypeScript,Rust","AI,Design,Fintech,Education"
62,"TensorFlow,ML,Python,Django,UI/UX","Startups,Climate"
63,"TensorFlow,Go","Startups,Design"
64,"UI/UX,TypeScript","Education,AI"
65,"C++,Flask","Security,Startups,Blockchain"
66,"SQL,Java,Flask,UI/UX","Security,Education,Fintech"
67,"Django,SQL,UI/UX,TypeScript,Go","AI,Robotics"
68,"C++,ML,Java","Fintech,Design"
69,"Go,UI/UX,Django,Kotlin,Flask","Design,Startups"
70,"UI/UX,C++","AI,Blockchain,Climate,Startups"
71,"TypeScript,Flask","Gaming,Robotics,Blockchain,Fintech"
72,"Node.js,Rust,Flask","Blockchain,Design,Startups,Education"
73,"Python,React,TensorFlow,Go,Java","Climate,Robotics"
74,"TensorFlow,Python,Node.js","IoT,Fintech,Education"
75,"Java,Flask","Fintech,IoT"
76,"Kotlin,ML,C++","IoT,Design,Fintech,AI"
77,"TensorFlow,ML,Go,C++,Java","Healthcare,IoT,Design"
78,"TypeScript,Python,SQL,TensorFlow,C++","Education,Climate,Security"
79,"Node.js,Kotlin,Django,TensorFlow,Python","Robotics,Healthcare"
80,"Django,Kotlin,Python","Design,AI,Blockchain,Security"
81,"ML,Go,Java,TypeScript","Healthcare,Climate"
82,"ML,TypeScript,UI/UX,Flask,Java","Fintech,Healthcare,Robotics"
83,"Django,Flask,UI/UX,ML,C++","Fintech,Gaming,Robotics,Climate"
84,"Python,React,ML,Rust,TensorFlow","Gaming,AI,Blockchain"
85,"Node.js,Java","Healthcare,Climate,IoT"
86,"Java,Rust,Python,TensorFlow","AI,IoT"
